Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
N'Keal Harry,Patriots,WR,309,261,55,1.2,41,48,59,47,2020
Tyler Higbee,Rams,TE,530,295,61,1.8,33,57,60,47,2020
Austin Hooper,Falcons,TE,544,388,66,1.4,43,51,53,47,2017
Dawson Knox,Bills,TE,602,495,74,1.2,57,48,34,47,2022
Dawson Knox,Bills,TE,353,284,52,1.2,44,47,55,47,2020
Jarvis Landry,Browns,WR,976,510,142,1.9,60,38,43,47,2018
Anthony Miller,Bears,WR,507,400,74,1.3,51,53,39,47,2020
D.J. Moore,Panthers,WR,"1,193",468,112,2.5,55,28,60,47,2020
David Njoku,Browns,TE,386,254,54,1.5,51,43,50,47,2017
Kalif Raymond,Lions,WR,616,293,52,2.1,59,56,24,47,2022
Emmanuel Sanders,Broncos,WR,555,376,88,1.5,60,28,55,47,2017
Willie Snead,Ravens,WR,701,430,97,1.6,55,41,48,47,2018
Mike Williams,Chargers,WR,756,423,84,1.8,30,66,54,47,2020
Brandin Cooks,Rams,WR,583,382,63,1.5,45,49,48,46,2019
Jack Doyle,Colts,TE,690,391,102,1.8,45,60,38,46,2017
Gerald Everett,Rams,TE,408,208,55,2.0,42,42,60,46,2019
Devin Funchess,Panthers,WR,549,352,78,1.6,58,34,48,46,2018
A.J. Green,Cardinals,WR,848,461,91,1.8,52,45,44,46,2021
Allen Hurns,Jaguars,WR,576,321,62,1.8,41,66,34,46,2017
Alshon Jeffery,Eagles,WR,490,257,69,1.9,61,39,38,46,2019
Marvin Jones,Jaguars,WR,579,500,89,1.2,44,65,33,46,2022
Darnell Mooney,Bears,WR,631,469,86,1.3,47,41,56,46,2020
Breshad Perriman,Buccaneers,WR,645,396,63,1.6,48,64,27,46,2019
Hunter Renfrow,Raiders,WR,656,316,63,2.1,52,39,51,46,2020
Curtis Samuel,Commanders,WR,656,465,78,1.4,41,56,47,46,2022
JuJu Smith-Schuster,Steelers,WR,"1,426",564,149,2.5,50,42,48,46,2018
Travis Benjamin,Chargers,WR,567,348,61,1.6,47,39,55,45,2017
John Brown,Cardinals,WR,299,284,53,1.1,51,41,47,45,2017
Alex Erickson,Bengals,WR,529,342,72,1.5,36,32,78,45,2019
Noah Fant,Broncos,TE,562,308,56,1.8,32,53,60,45,2019
Chris Godwin,Buccaneers,WR,"1,108",574,130,1.9,42,48,51,45,2022
Christian Kirk,Cardinals,WR,590,274,53,2.2,46,42,53,45,2018
Allen Lazard,Packers,WR,788,423,95,1.9,64,36,34,45,2022
Breshad Perriman,Jets,WR,505,311,53,1.6,50,35,55,45,2020
Deebo Samuel,49ers,WR,843,390,91,2.2,42,20,82,45,2022
Dalton Schultz,Cowboys,TE,699,439,104,1.6,64,38,32,45,2022
Torrey Smith,Eagles,WR,587,451,82,1.3,49,46,46,45,2017
Willie Snead,Ravens,WR,395,333,53,1.2,46,39,56,45,2019
Kenny Stills,Dolphins,WR,847,552,101,1.5,37,63,43,45,2017
Laquon Treadwell,Vikings,WR,302,319,51,0.9,52,36,52,45,2018
Mike Williams,Chargers,WR,"1,001",463,90,2.2,18,80,51,45,2019
Danny Amendola,Lions,WR,602,287,59,2.1,39,51,50,44,2020
D.J. Chark,Lions,WR,502,306,49,1.6,41,54,44,44,2022
Corey Davis,Titans,WR,891,398,100,2.2,55,31,50,44,2018
Pat Freiermuth,Steelers,TE,732,416,94,1.8,40,44,57,44,2022
Michael Gallup,Cowboys,WR,445,288,57,1.5,42,51,48,44,2021
Michael Gallup,Cowboys,WR,843,547,95,1.5,43,46,51,44,2020
Mecole Hardman,Chiefs,WR,626,362,61,1.7,50,21,68,44,2020
Christopher Herndon,Jets,TE,502,264,53,1.9,29,59,56,44,2018
CeeDee Lamb,Cowboys,WR,935,447,95,2.1,47,47,44,44,2020
Allen Lazard,Packers,WR,519,387,54,1.3,41,59,39,44,2021
D.J. Moore,Panthers,WR,888,426,108,2.1,43,59,37,44,2022
Demarcus Robinson,Chiefs,WR,491,505,61,1.0,36,57,47,44,2020
