Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
Kelvin Benjamin,Chiefs,WR,380,291,65,1.3,33,27,53,29,2018
Cameron Brate,Buccaneers,TE,591,350,76,1.7,24,56,34,29,2017
Evan Engram,Giants,TE,722,441,111,1.6,32,28,52,29,2017
Antonio Gates,Chargers,TE,316,287,52,1.1,28,53,31,29,2017
Ricardo Louis,Browns,WR,357,340,60,1.1,44,36,27,29,2017
Curtis Samuel,Panthers,WR,627,581,98,1.1,42,25,42,29,2019
Mohamed Sanu,Patriots,WR,531,448,85,1.2,31,44,37,29,2019
Olamide Zaccheaus,Falcons,WR,406,334,52,1.2,31,32,50,29,2021
Mike Gesicki,Dolphins,TE,377,361,59,1.0,40,41,26,28,2022
Jimmy Graham,Packers,TE,636,463,85,1.4,26,36,51,28,2018
Greg Olsen,Panthers,TE,597,390,79,1.5,34,45,29,28,2019
Chester Rogers,Colts,WR,561,405,66,1.4,31,36,43,28,2018
Ricky Seals-Jones,Cardinals,TE,343,295,64,1.2,36,27,46,28,2018
A.J. Green,Bengals,WR,523,457,104,1.1,33,23,52,27,2020
Cameron Brate,Buccaneers,TE,283,296,58,1.0,32,36,37,26,2021
Dede Westbrook,Jaguars,WR,660,485,85,1.4,35,25,45,26,2019
T.J. Hockenson,Lions,TE,367,252,54,1.5,25,32,51,25,2019
Zach Pascal,Colts,WR,384,414,63,0.9,43,18,40,25,2021
Roger Lewis,Giants,WR,416,402,69,1.0,23,38,42,24,2017
Marquez Valdes-Scantling,Chiefs,WR,809,577,92,1.4,26,46,29,23,2022
Geronimo Allison,Packers,WR,306,373,52,0.8,35,28,33,22,2019
Brandon LaFell,Bengals,WR,548,431,73,1.3,29,27,43,22,2017
Eric Ebron,Steelers,TE,620,418,96,1.5,37,8,49,21,2020
DaeSean Hamilton,Broncos,WR,297,346,51,0.9,30,24,43,21,2019
Tyler Higbee,Rams,TE,620,370,89,1.7,38,11,46,21,2022
Hayden Hurst,Falcons,TE,571,469,78,1.2,23,36,34,19,2020
John Ross,Bengals,WR,210,328,53,0.6,30,16,47,19,2018
Jaron Brown,Cardinals,WR,477,470,67,1.0,21,28,43,18,2017
Marcedes Lewis,Jaguars,TE,339,381,50,0.9,13,34,47,18,2017
Zay Jones,Bills,WR,336,446,77,0.8,37,8,38,16,2017
Darius Slayton,Giants,WR,339,308,55,1.1,29,18,39,16,2021
Jarius Wright,Panthers,WR,296,462,56,0.6,30,16,40,16,2019
Robbie Anderson,Panthers,WR,519,552,99,0.9,37,0,40,12,2021
Evan Engram,Giants,TE,654,445,103,1.5,36,0,51,12,2020
Jonnu Smith,Titans,TE,457,270,59,1.7,15,13,51,10,2020
