season,receiver,receiver_id,yards_gained,next_season_yards
2019,M.Gallup,00-0034764,1107.0,843.0
2019,M.Williams,00-0033536,1001.0,102.0
2019,T.Lockett,00-0032211,1057.0,1054.0
2020,C.Ridley,00-0034837,1383.0,281.0
2020,D.Metcalf,00-0035640,1303.0,967.0
2020,J.Jefferson,00-0036322,1404.0,1616.0
2020,R.Anderson,00-0032688,1098.0,519.0
2020,T.McLaurin,00-0035659,1118.0,1053.0
2021,C.Lamb,00-0036358,1116.0,1359.0
2021,D.Johnson,00-0035216,1160.0,137.0
2021,D.Mooney,00-0036309,1055.0,493.0
2021,D.Samuel,00-0035719,1397.0,632.0
2021,H.Renfrow,00-0034983,1038.0,330.0
2021,J.Chase,00-0036900,1455.0,1046.0
2021,J.Waddle,00-0036613,1015.0,1356.0
2021,K.Pitts,00-0036970,1026.0,356.0
2021,M.Andrews,00-0034753,1365.0,849.0
2021,M.Brown,00-0035662,1008.0,37.0
2021,M.Pittman,00-0036252,1084.0,925.0
2021,T.Higgins,00-0036410,1093.0,1031.0
